Week,Period,Average in Hours,Median in Hours,Count
12,18 March 2026 - 24 March 2026,108,108,1
11,11 March 2026 - 17 March 2026,122.25,128.5,4
10,04 March 2026 - 10 March 2026,124.8,134,5
9,25 February 2026 - 03 March 2026,142.33,143,3
8,18 February 2026 - 24 February 2026,118,118,2
7,11 February 2026 - 17 February 2026,128.33,135,3
6,04 February 2026 - 10 February 2026,133.25,136,4
5,28 January 2026 - 03 February 2026,125.5,125.5,2
4,21 January 2026 - 27 January 2026,127,135,3
3,14 January 2026 - 20 January 2026,119.56,111,9
2,07 January 2026 - 13 January 2026,78,72,4
1,31 December 2025 - 06 January 2026,96,96,2
52,24 December 2025 - 30 December 2025,136.5,136.5,2
51,17 December 2025 - 23 December 2025,106.6,91,5
50,10 December 2025 - 16 December 2025,121.2,101,5
48,26 November 2025 - 02 December 2025,106.33,106,3
47,19 November 2025 - 25 November 2025,106.2,106,5
46,12 November 2025 - 18 November 2025,105,108,9
45,05 November 2025 - 11 November 2025,115.33,106,3
44,29 October 2025 - 04 November 2025,75.31,60,16
34,20 August 2025 - 26 August 2025,128.17,127,6
33,13 August 2025 - 19 August 2025,101.5,101.5,2
32,06 August 2025 - 12 August 2025,123,123,1
29,16 July 2025 - 22 July 2025,121.5,111.5,4
28,09 July 2025 - 15 July 2025,137,154.5,4
23,04 June 2025 - 10 June 2025,72,72,6
18,30 April 2025 - 06 May 2025,65.67,72,9
17,23 April 2025 - 29 April 2025,72,72,2
16,16 April 2025 - 22 April 2025,82.29,96,7
12,19 March 2025 - 25 March 2025,57,42,3
11,12 March 2025 - 18 March 2025,98.17,104,12
9,26 February 2025 - 04 March 2025,143.67,144,6
32,07 August 2024 - 13 August 2024,58,60,12
31,31 July 2024 - 06 August 2024,67.5,72,16
29,17 July 2024 - 23 July 2024,55.2,60,10
28,10 July 2024 - 16 July 2024,55.5,48,16
27,03 July 2024 - 09 July 2024,57.88,48,17
26,26 June 2024 - 02 July 2024,48,36,6
25,19 June 2024 - 25 June 2024,51.43,48,14
24,12 June 2024 - 18 June 2024,41.14,48,14
23,05 June 2024 - 11 June 2024,108,108,4
22,29 May 2024 - 04 June 2024,64,60,12
17,24 April 2024 - 30 April 2024,45.6,48,10
16,17 April 2024 - 23 April 2024,43.64,48,11
14,03 April 2024 - 09 April 2024,61.5,72,16
13,27 March 2024 - 02 April 2024,51.69,48,13
12,20 March 2024 - 26 March 2024,76,72,6
11,13 March 2024 - 19 March 2024,48,48,13
10,06 March 2024 - 12 March 2024,49.71,48,14
9,28 February 2024 - 05 March 2024,64.62,48,13
1,03 January 2024 - 09 January 2024,70.29,72,14
52,27 December 2023 - 02 January 2024,60,48,12
51,20 December 2023 - 26 December 2023,78.86,96,7
50,13 December 2023 - 19 December 2023,78.86,72,14
49,06 December 2023 - 12 December 2023,78.67,84,18
48,29 November 2023 - 05 December 2023,92.31,96,13
47,22 November 2023 - 28 November 2023,81.23,72,13
46,15 November 2023 - 21 November 2023,94.74,72,19
45,08 November 2023 - 14 November 2023,90,84,16
44,01 November 2023 - 07 November 2023,55.38,48,13
41,11 October 2023 - 17 October 2023,48,48,12
40,04 October 2023 - 10 October 2023,68,72,12
39,27 September 2023 - 03 October 2023,101.33,96,9
36,06 September 2023 - 12 September 2023,96,96,5
35,30 August 2023 - 05 September 2023,96,72,11
34,23 August 2023 - 29 August 2023,78,72,12
33,16 August 2023 - 22 August 2023,84.92,72,13
32,09 August 2023 - 15 August 2023,83.2,72,15
31,02 August 2023 - 08 August 2023,64.62,48,13
29,19 July 2023 - 25 July 2023,68.57,72,7
28,12 July 2023 - 18 July 2023,68,72,12
27,05 July 2023 - 11 July 2023,86.4,84,10
26,28 June 2023 - 04 July 2023,98.67,96,9
25,21 June 2023 - 27 June 2023,61.33,48,9
24,14 June 2023 - 20 June 2023,80,96,15
23,07 June 2023 - 13 June 2023,58.29,72,7
22,31 May 2023 - 06 June 2023,60.92,72,13
21,24 May 2023 - 30 May 2023,62.4,72,5
20,17 May 2023 - 23 May 2023,62.4,48,10
19,10 May 2023 - 16 May 2023,63,60,8
18,03 May 2023 - 09 May 2023,85.09,72,11
17,26 April 2023 - 02 May 2023,54,48,8
16,19 April 2023 - 25 April 2023,65.45,48,11
15,12 April 2023 - 18 April 2023,24,24,1
14,05 April 2023 - 11 April 2023,80,72,9
13,29 March 2023 - 04 April 2023,90.67,96,9
12,22 March 2023 - 28 March 2023,81,84,8
11,15 March 2023 - 21 March 2023,68,72,12
10,08 March 2023 - 14 March 2023,86.4,96,10
8,22 February 2023 - 28 February 2023,54,60,4
7,15 February 2023 - 21 February 2023,115.2,120,5
6,08 February 2023 - 14 February 2023,85.71,72,7
5,01 February 2023 - 07 February 2023,69.33,72,9
4,25 January 2023 - 31 January 2023,80,96,6
3,18 January 2023 - 24 January 2023,98.67,96,9
2,11 January 2023 - 17 January 2023,96,96,9
1,04 January 2023 - 10 January 2023,106.67,96,9
53,28 December 2022 - 03 January 2023,105,108,8
52,21 December 2022 - 27 December 2022,112,96,3
51,14 December 2022 - 20 December 2022,100,84,6
50,07 December 2022 - 13 December 2022,84.92,72,13
49,30 November 2022 - 06 December 2022,41.14,24,7
48,23 November 2022 - 29 November 2022,72,72,7
47,16 November 2022 - 22 November 2022,67.64,48,11
46,09 November 2022 - 15 November 2022,81.6,60,10
45,02 November 2022 - 08 November 2022,78.86,72,14
44,26 October 2022 - 01 November 2022,68,72,6
43,19 October 2022 - 25 October 2022,58.67,48,9
42,12 October 2022 - 18 October 2022,67.2,60,10
41,05 October 2022 - 11 October 2022,82,72,12
40,28 September 2022 - 04 October 2022,89.14,72,7
39,21 September 2022 - 27 September 2022,96,108,8
38,14 September 2022 - 20 September 2022,78.55,72,11
37,07 September 2022 - 13 September 2022,72,72,7
36,31 August 2022 - 06 September 2022,81.23,96,13
35,24 August 2022 - 30 August 2022,108,108,14
34,17 August 2022 - 23 August 2022,60,60,12
33,10 August 2022 - 16 August 2022,54,48,8
32,03 August 2022 - 09 August 2022,67.64,72,11
31,27 July 2022 - 02 August 2022,74.18,72,11
30,20 July 2022 - 26 July 2022,72,72,9
29,13 July 2022 - 19 July 2022,80.57,72,14
28,06 July 2022 - 12 July 2022,58.67,72,9
27,29 June 2022 - 05 July 2022,81.6,96,5
20,11 May 2022 - 17 May 2022,82.67,72,9
17,20 April 2022 - 26 April 2022,60,60,8
16,13 April 2022 - 19 April 2022,60.92,48,13
15,06 April 2022 - 12 April 2022,44,36,6
14,30 March 2022 - 05 April 2022,72,72,8
12,16 March 2022 - 22 March 2022,42,48,4
11,09 March 2022 - 15 March 2022,66,72,8
10,02 March 2022 - 08 March 2022,81.6,72,5
9,23 February 2022 - 01 March 2022,36,36,2
5,26 January 2022 - 01 February 2022,36,24,4
4,19 January 2022 - 25 January 2022,65.14,72,7
2,05 January 2022 - 11 January 2022,72,72,7
52,22 December 2021 - 28 December 2021,67.2,72,5
51,15 December 2021 - 21 December 2021,60,60,8
50,08 December 2021 - 14 December 2021,60,60,4
49,01 December 2021 - 07 December 2021,48,48,2
48,24 November 2021 - 30 November 2021,91.2,96,5
47,17 November 2021 - 23 November 2021,102,108,4
45,03 November 2021 - 09 November 2021,48,48,1
44,27 October 2021 - 02 November 2021,96,96,1
43,20 October 2021 - 26 October 2021,120,120,1
41,06 October 2021 - 12 October 2021,78,60,4
37,08 September 2021 - 14 September 2021,72,84,4
36,01 September 2021 - 07 September 2021,76,72,6
35,25 August 2021 - 31 August 2021,91.2,96,5
33,11 August 2021 - 17 August 2021,88,84,6
32,04 August 2021 - 10 August 2021,54,60,4
31,28 July 2021 - 03 August 2021,48,48,8
29,14 July 2021 - 20 July 2021,60,60,8
27,30 June 2021 - 06 July 2021,68,72,6
26,23 June 2021 - 29 June 2021,96,84,4
25,16 June 2021 - 22 June 2021,81.6,72,10
22,26 May 2021 - 01 June 2021,40,24,6
21,19 May 2021 - 25 May 2021,45.33,48,9
20,12 May 2021 - 18 May 2021,68.57,72,7
19,05 May 2021 - 11 May 2021,64,60,6
18,28 April 2021 - 04 May 2021,76.8,72,5
17,21 April 2021 - 27 April 2021,76,72,6
16,14 April 2021 - 20 April 2021,67.2,72,5
15,07 April 2021 - 13 April 2021,61.33,72,9
14,31 March 2021 - 06 April 2021,44,48,6
13,24 March 2021 - 30 March 2021,62.4,48,10
12,17 March 2021 - 23 March 2021,70.67,72,18
11,10 March 2021 - 16 March 2021,58.5,48,16
10,03 March 2021 - 09 March 2021,57.6,48,15
9,24 February 2021 - 02 March 2021,67.2,60,10
8,17 February 2021 - 23 February 2021,74.67,72,9
7,10 February 2021 - 16 February 2021,54.86,48,7
6,03 February 2021 - 09 February 2021,66,60,4
5,27 January 2021 - 02 February 2021,88,96,3
4,20 January 2021 - 26 January 2021,52.8,48,5
3,13 January 2021 - 19 January 2021,72,96,3
2,06 January 2021 - 12 January 2021,84,72,6
1,30 December 2020 - 05 January 2021,72,72,1
52,23 December 2020 - 29 December 2020,68,72,6
51,16 December 2020 - 22 December 2020,78,84,8
49,02 December 2020 - 08 December 2020,48,48,7
48,25 November 2020 - 01 December 2020,72,72,4
47,18 November 2020 - 24 November 2020,72,72,7
46,11 November 2020 - 17 November 2020,72,72,4
45,04 November 2020 - 10 November 2020,59.08,48,13
43,21 October 2020 - 27 October 2020,66,48,4
42,14 October 2020 - 20 October 2020,60,60,8
41,07 October 2020 - 13 October 2020,78.86,96,7
40,30 September 2020 - 06 October 2020,132,132,2
35,26 August 2020 - 01 September 2020,81.6,72,5
34,19 August 2020 - 25 August 2020,78,60,4
33,12 August 2020 - 18 August 2020,72,60,8
32,05 August 2020 - 11 August 2020,64,60,6
31,29 July 2020 - 04 August 2020,61.71,72,7
30,22 July 2020 - 28 July 2020,52,36,6
29,15 July 2020 - 21 July 2020,72,60,4
28,08 July 2020 - 14 July 2020,38.4,48,5
26,24 June 2020 - 30 June 2020,51.43,48,7
25,17 June 2020 - 23 June 2020,57.6,24,5
24,10 June 2020 - 16 June 2020,66,60,8
22,27 May 2020 - 02 June 2020,36,36,2
21,20 May 2020 - 26 May 2020,68.57,72,7
20,13 May 2020 - 19 May 2020,120,120,1
19,06 May 2020 - 12 May 2020,24,24,1
17,22 April 2020 - 28 April 2020,54,48,8
16,15 April 2020 - 21 April 2020,24,24,1
15,08 April 2020 - 14 April 2020,78,84,4
13,25 March 2020 - 31 March 2020,48,48,5
12,18 March 2020 - 24 March 2020,56,48,6
11,11 March 2020 - 17 March 2020,72,72,7
8,19 February 2020 - 25 February 2020,80,72,3
7,12 February 2020 - 18 February 2020,90,96,4
52,25 December 2019 - 31 December 2019,60,60,4
51,18 December 2019 - 24 December 2019,61.71,72,7
50,11 December 2019 - 17 December 2019,78,72,4
47,20 November 2019 - 26 November 2019,48,48,2
46,13 November 2019 - 19 November 2019,67.2,72,5
44,30 October 2019 - 05 November 2019,72,72,1
43,23 October 2019 - 29 October 2019,68,72,6
42,16 October 2019 - 22 October 2019,81.6,96,5
41,09 October 2019 - 15 October 2019,120,120,1
35,28 August 2019 - 03 September 2019,24,24,1
34,21 August 2019 - 27 August 2019,54,48,4
33,14 August 2019 - 20 August 2019,85.33,96,9
32,07 August 2019 - 13 August 2019,64,72,3
29,17 July 2019 - 23 July 2019,72,72,5
28,10 July 2019 - 16 July 2019,58.29,48,7
25,19 June 2019 - 25 June 2019,66,72,8
24,12 June 2019 - 18 June 2019,53.33,48,9
21,22 May 2019 - 28 May 2019,72,72,1
19,08 May 2019 - 14 May 2019,32,24,12
18,01 May 2019 - 07 May 2019,76.8,72,10
17,24 April 2019 - 30 April 2019,91.2,96,5
16,17 April 2019 - 23 April 2019,53.54,48,13
15,10 April 2019 - 16 April 2019,66,72,4
13,27 March 2019 - 02 April 2019,48,48,2
12,20 March 2019 - 26 March 2019,48,48,5
11,13 March 2019 - 19 March 2019,84,84,6
9,27 February 2019 - 05 March 2019,144,144,2
4,23 January 2019 - 29 January 2019,24,24,1
2,09 January 2019 - 15 January 2019,82.67,72,9
