Week,Period,Average in Hours,Median in Hours,Count
12,18 March 2026 - 24 March 2026,70.67,39,3
11,11 March 2026 - 17 March 2026,99.63,116,8
10,04 March 2026 - 10 March 2026,88,91,8
9,25 February 2026 - 03 March 2026,88.78,91,9
8,18 February 2026 - 24 February 2026,60.5,48,4
7,11 February 2026 - 17 February 2026,73.5,71.5,4
6,04 February 2026 - 10 February 2026,69.67,56.5,6
5,28 January 2026 - 03 February 2026,89.67,77.5,6
4,21 January 2026 - 27 January 2026,70.29,85,7
3,14 January 2026 - 20 January 2026,64.33,78,9
2,07 January 2026 - 13 January 2026,48,48,2
1,31 December 2025 - 06 January 2026,24,24,1
52,24 December 2025 - 30 December 2025,61.14,60,7
51,17 December 2025 - 23 December 2025,43,14.5,6
50,10 December 2025 - 16 December 2025,88.88,108,8
48,26 November 2025 - 02 December 2025,42.5,40.5,4
47,19 November 2025 - 25 November 2025,77.67,86,9
46,12 November 2025 - 18 November 2025,65.09,59,11
45,05 November 2025 - 11 November 2025,68,61,4
44,29 October 2025 - 04 November 2025,67.4,48,5
43,22 October 2025 - 28 October 2025,142,142,1
35,27 August 2025 - 02 September 2025,58.5,58.5,2
34,20 August 2025 - 26 August 2025,64.85,59,13
33,13 August 2025 - 19 August 2025,92.43,129,7
32,06 August 2025 - 12 August 2025,148,148,2
29,16 July 2025 - 22 July 2025,62.5,66.5,8
28,09 July 2025 - 15 July 2025,86,67,7
27,02 July 2025 - 08 July 2025,152,152,1
23,04 June 2025 - 10 June 2025,24,24,2
20,14 May 2025 - 20 May 2025,4,4,1
19,07 May 2025 - 13 May 2025,143.5,143.5,2
18,30 April 2025 - 06 May 2025,36,36,4
17,23 April 2025 - 29 April 2025,24,24,2
16,16 April 2025 - 22 April 2025,57.6,48,5
12,19 March 2025 - 25 March 2025,29.75,33,8
11,12 March 2025 - 18 March 2025,30.31,24,16
9,26 February 2025 - 04 March 2025,96,96,2
2,08 January 2025 - 14 January 2025,9,9,1
1,01 January 2025 - 07 January 2025,10,10,1
39,25 September 2024 - 01 October 2024,126,120,8
33,14 August 2024 - 20 August 2024,24,24,1
32,07 August 2024 - 13 August 2024,48,48,9
31,31 July 2024 - 06 August 2024,60,48,6
29,17 July 2024 - 23 July 2024,24,24,1
28,10 July 2024 - 16 July 2024,24,24,6
