date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export
2026-04-03 00:00:00+00:00,2026,4,3,port631,Lamu,Kenya,KEN,1,0,0,0,0,1,1,15633,0,0,0,0,15633,15633,0,0,0,0,0,0,0
2026-04-03 00:00:00+00:00,2026,4,3,port757,Mombasa,Kenya,KEN,2,0,2,1,0,5,5,19763,0,4255,558,0,24577,24577,1370,0,1910,0,0,3280,3280
2026-04-02 00:00:00+00:00,2026,4,2,port631,Lamu,Kenya,KEN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,3711,0,0,0,0,3711,3711
2026-04-02 00:00:00+00:00,2026,4,2,port757,Mombasa,Kenya,KEN,1,1,1,0,2,3,5,9881,29887,1107,0,66065,40876,106941,685,1327,0,0,509,2012,2522
2026-04-01 00:00:00+00:00,2026,4,1,port631,Lamu,Kenya,KEN,2,0,0,0,0,2,2,3567,0,0,0,0,3567,3567,1697,0,0,0,0,1697,1697
2026-04-01 00:00:00+00:00,2026,4,1,port757,Mombasa,Kenya,KEN,1,2,0,1,0,4,4,9881,59774,0,0,0,69656,69656,685,2655,0,0,0,3340,3340
2026-03-31 00:00:00+00:00,2026,3,31,port631,Lamu,Kenya,KEN,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-31 00:00:00+00:00,2026,3,31,port757,Mombasa,Kenya,KEN,2,1,0,0,1,3,4,39168,29887,0,0,32541,69055,101597,0,1327,0,0,0,1327,1327
2026-03-30 00:00:00+00:00,2026,3,30,port631,Lamu,Kenya,KEN,0,1,0,0,0,1,1,0,5157,0,0,0,5157,5157,0,7255,0,0,0,7255,7255
2026-03-30 00:00:00+00:00,2026,3,30,port757,Mombasa,Kenya,KEN,2,1,0,0,1,3,4,23926,29440,0,0,43859,53367,97226,0,0,0,0,0,0,0
2026-03-29 00:00:00+00:00,2026,3,29,port631,Lamu,Kenya,KEN,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,3374,0,0,3374,3374
2026-03-29 00:00:00+00:00,2026,3,29,port757,Mombasa,Kenya,KEN,2,0,1,1,0,4,4,18066,0,2127,1006,0,21200,21200,0,0,955,0,0,955,955
2026-03-28 00:00:00+00:00,2026,3,28,port631,Lamu,Kenya,KEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-28 00:00:00+00:00,2026,3,28,port757,Mombasa,Kenya,KEN,2,1,0,0,0,3,3,28125,29887,0,0,0,58012,58012,0,1327,0,0,0,1327,1327
2026-03-27 00:00:00+00:00,2026,3,27,port631,Lamu,Kenya,KEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
