week_id,week_start,total_import,total_export,total_portcalls,portcalls_container,portcalls_tanker,portcalls_dry_bulk,portcalls_roro,portcalls_general,import_container,import_tanker,import_dry_bulk,days_with_data,wait_avg_hours,wait_median_hours,wait_ship_count,turnaround_avg_hours,turnaround_median_hours,turnaround_ship_count,next_week_wait,congestion_next_week
2019-W01,2018-12-31,518968,10009,17,6,6,5,0,0,52224,257568,209176,6,41.14,24.0,14.0,82.67,72.0,9.0,41.14,0
2019-W02,2019-01-07,556906,16083,27,11,6,8,2,0,115433,136903,303591,7,41.14,24.0,14.0,82.67,72.0,9.0,41.14,0
2019-W03,2019-01-14,379268,12949,26,10,5,3,6,2,134488,112431,122950,7,41.14,24.0,14.0,82.67,72.0,9.0,56.0,1
2019-W04,2019-01-21,353303,74210,24,14,4,3,2,1,125810,180843,39238,7,56.0,48.0,3.0,24.0,24.0,1.0,56.0,1
2019-W05,2019-01-28,340960,62032,19,9,3,5,1,1,95952,149258,87310,7,56.0,48.0,3.0,24.0,24.0,1.0,40.0,0
2019-W06,2019-02-04,385233,41549,26,16,4,3,2,1,123496,136744,121887,7,40.0,48.0,3.0,24.0,24.0,1.0,40.0,0
2019-W07,2019-02-11,527087,12537,25,9,5,5,4,2,98113,219396,200584,7,40.0,48.0,3.0,24.0,24.0,1.0,40.0,0
2019-W08,2019-02-18,507941,4431,30,10,6,7,4,3,105356,185984,210380,7,40.0,48.0,3.0,24.0,24.0,1.0,40.0,0
2019-W09,2019-02-25,410128,12187,24,8,6,4,4,2,42422,227582,129564,7,40.0,48.0,3.0,144.0,144.0,2.0,40.0,0
2019-W10,2019-03-04,416835,1153,21,9,4,4,2,2,88046,164959,159014,7,40.0,48.0,3.0,144.0,144.0,2.0,38.4,0
2019-W11,2019-03-11,514694,16947,29,11,6,6,4,2,88028,170406,251366,7,38.4,24.0,5.0,84.0,84.0,6.0,24.0,0
2019-W12,2019-03-18,485577,13400,28,11,4,7,4,2,89987,206712,185024,7,24.0,24.0,2.0,48.0,48.0,5.0,24.0,0
2019-W13,2019-03-25,323051,8462,23,11,4,3,2,3,100847,158414,52833,7,24.0,24.0,1.0,48.0,48.0,2.0,24.0,0
2019-W14,2019-04-01,471368,1738,25,11,5,6,2,1,120639,153124,191675,7,24.0,24.0,1.0,48.0,48.0,2.0,32.0,0
2019-W15,2019-04-08,416646,25285,23,9,2,7,4,1,85111,114647,210203,7,32.0,24.0,3.0,66.0,72.0,4.0,24.0,0
2019-W16,2019-04-15,509388,4595,24,10,6,5,3,0,93234,230727,183885,7,24.0,24.0,3.0,53.54,48.0,13.0,28.0,0
